date,close
27-05-2015,132.045
28-05-2015,131.78
29-05-2015,130.28
01-06-2015,130.535
02-06-2015,129.96
03-06-2015,130.12
04-06-2015,129.36
05-06-2015,128.65
08-06-2015,127.8
09-06-2015,127.42
10-06-2015,128.88
11-06-2015,128.59
12-06-2015,127.17
15-06-2015,126.92
16-06-2015,127.6
17-06-2015,127.3
18-06-2015,127.88
19-06-2015,126.6
22-06-2015,127.61
23-06-2015,127.03
24-06-2015,128.11
25-06-2015,127.5
26-06-2015,126.75
29-06-2015,124.53
30-06-2015,125.425
01-07-2015,126.6
02-07-2015,126.44
06-07-2015,126
07-07-2015,125.69
08-07-2015,122.57
09-07-2015,120.07
10-07-2015,123.28
13-07-2015,125.66
14-07-2015,125.61
15-07-2015,126.82
16-07-2015,128.51
17-07-2015,129.62
20-07-2015,132.07
21-07-2015,130.75
22-07-2015,125.22
23-07-2015,125.16
24-07-2015,124.5
27-07-2015,122.77
28-07-2015,123.38
29-07-2015,122.99
30-07-2015,122.37
31-07-2015,121.3
03-08-2015,118.44
04-08-2015,114.64
05-08-2015,115.4
06-08-2015,115.13
07-08-2015,115.52
10-08-2015,119.72
11-08-2015,113.49
12-08-2015,115.24
13-08-2015,115.15
14-08-2015,115.96
17-08-2015,117.16
18-08-2015,116.5
19-08-2015,115.01
20-08-2015,112.65
21-08-2015,105.76
24-08-2015,103.12
25-08-2015,103.74
26-08-2015,109.69
27-08-2015,112.92
28-08-2015,113.29
31-08-2015,112.76
01-09-2015,107.72
02-09-2015,112.34
03-09-2015,110.37
04-09-2015,109.27
08-09-2015,112.31
09-09-2015,110.15
10-09-2015,112.57
11-09-2015,114.21
14-09-2015,115.31
15-09-2015,116.28
16-09-2015,116.41
17-09-2015,113.92
18-09-2015,113.45
21-09-2015,115.21
22-09-2015,113.4
23-09-2015,114.32
24-09-2015,115
25-09-2015,114.71
28-09-2015,112.44
29-09-2015,109.06
30-09-2015,110.3
01-10-2015,109.58
02-10-2015,110.38
05-10-2015,110.78
06-10-2015,111.31
07-10-2015,110.78
08-10-2015,109.5
09-10-2015,112.12
12-10-2015,111.6
13-10-2015,111.79
14-10-2015,110.21
15-10-2015,111.86
16-10-2015,111.04
19-10-2015,111.73
20-10-2015,113.77
21-10-2015,113.76
22-10-2015,115.5
23-10-2015,119.08
26-10-2015,115.28
27-10-2015,114.55
28-10-2015,119.27
29-10-2015,120.53
30-10-2015,119.5
02-11-2015,121.18
03-11-2015,122.57
04-11-2015,122
05-11-2015,120.92
06-11-2015,121.06
09-11-2015,120.57
10-11-2015,116.77
11-11-2015,116.11
12-11-2015,115.72
13-11-2015,112.34
16-11-2015,114.175
17-11-2015,113.69
18-11-2015,117.29
19-11-2015,118.78
20-11-2015,119.3
23-11-2015,117.75
24-11-2015,118.88
25-11-2015,118.03
27-11-2015,117.81
30-11-2015,118.3
01-12-2015,117.34
02-12-2015,116.28
03-12-2015,115.2
04-12-2015,119.03
07-12-2015,118.28
08-12-2015,118.23
09-12-2015,115.62
10-12-2015,116.17
11-12-2015,113.18
14-12-2015,112.48
15-12-2015,110.49
16-12-2015,111.34
17-12-2015,108.98
18-12-2015,106.03
21-12-2015,107.33
22-12-2015,107.23
23-12-2015,108.61
24-12-2015,108.03
28-12-2015,106.82
29-12-2015,108.74
30-12-2015,107.32
31-12-2015,105.26
04-01-2016,105.35
05-01-2016,102.71
06-01-2016,100.7
07-01-2016,96.45
08-01-2016,96.96
11-01-2016,98.53
12-01-2016,99.96
13-01-2016,97.39
14-01-2016,99.52
15-01-2016,97.13
19-01-2016,96.66
20-01-2016,96.79
21-01-2016,96.3
22-01-2016,101.42
25-01-2016,99.44
26-01-2016,99.99
27-01-2016,93.42
28-01-2016,94.09
29-01-2016,97.34
01-02-2016,96.43
02-02-2016,94.48
03-02-2016,96.35
04-02-2016,96.6
05-02-2016,94.02
08-02-2016,95.01
09-02-2016,94.99
10-02-2016,94.27
11-02-2016,93.7
12-02-2016,93.99
16-02-2016,96.64
17-02-2016,98.12
18-02-2016,96.26
19-02-2016,96.04
22-02-2016,96.88
23-02-2016,94.69
24-02-2016,96.1
25-02-2016,96.76
26-02-2016,96.91
29-02-2016,96.69
01-03-2016,100.53
02-03-2016,100.75
03-03-2016,101.5
04-03-2016,103.01
07-03-2016,101.87
08-03-2016,101.03
09-03-2016,101.12
10-03-2016,101.17
11-03-2016,102.26
14-03-2016,102.52
15-03-2016,104.58
16-03-2016,105.97
17-03-2016,105.8
18-03-2016,105.92
21-03-2016,105.91
22-03-2016,106.72
23-03-2016,106.13
24-03-2016,105.67
28-03-2016,105.19
29-03-2016,107.68
30-03-2016,109.56
31-03-2016,108.99
01-04-2016,109.99
04-04-2016,111.12
05-04-2016,109.81
06-04-2016,110.96
07-04-2016,108.54
08-04-2016,108.66
11-04-2016,109.02
12-04-2016,110.44
13-04-2016,112.04
14-04-2016,112.1
15-04-2016,109.85
18-04-2016,107.48
19-04-2016,106.91
20-04-2016,107.13
21-04-2016,105.97
22-04-2016,105.68
25-04-2016,105.08
26-04-2016,104.35
27-04-2016,97.82
28-04-2016,94.83
29-04-2016,93.74
02-05-2016,93.64
03-05-2016,95.18
04-05-2016,94.19
05-05-2016,93.24
06-05-2016,92.72
09-05-2016,92.79
10-05-2016,93.42
